time,helmet-in,helmet-out,no-helmet-in,no-helmet-out
2022_03_22_13_39_16,0,0,1,0
2022_03_22_13_39_18,0,0,1,0
2022_03_22_13_39_39,0,0,1,0
2022_03_22_13_40_56,0,0,1,0
2022_03_22_13_42_03,0,0,1,0
2022_03_22_13_42_03,0,0,1,0
2022_03_22_13_42_05,0,0,1,0
2022_03_22_13_42_12,0,0,0,1
2022_03_22_13_42_13,0,0,1,0
2022_03_22_13_42_23,0,0,1,0
2022_03_22_13_43_42,0,0,1,0
2022_03_22_13_44_44,0,0,1,0
2022_03_22_13_44_52,0,0,2,0
2022_03_22_13_44_53,0,0,1,0
2022_03_22_13_44_55,0,0,0,1
2022_03_22_13_45_01,0,0,1,0
2022_03_22_13_45_06,0,0,1,0
2022_03_22_13_47_37,0,0,1,0
2022_03_22_13_47_41,0,0,1,0
2022_03_22_13_47_44,0,0,1,0
2022_03_22_13_47_50,0,0,1,0
2022_03_22_13_47_52,0,0,1,0
2022_03_22_13_52_17,0,0,1,0
2022_03_22_13_52_27,0,0,1,0
2022_03_22_13_52_32,0,0,1,0
2022_03_22_13_53_09,0,0,1,0
2022_03_22_13_56_10,0,0,1,0
2022_03_22_13_56_12,0,0,1,0
2022_03_22_13_56_31,0,0,1,0
2022_03_22_13_56_46,0,0,1,0
2022_03_22_13_58_24,0,0,1,0
2022_03_22_14_04_44,0,0,1,0
2022_03_22_14_07_47,0,0,1,0
2022_03_22_14_14_09,0,0,0,1
2022_03_22_14_18_09,0,0,0,1
2022_03_22_14_18_10,0,0,1,0
2022_03_22_14_20_04,0,0,0,1
2022_03_22_14_34_29,0,0,1,0
2022_03_22_14_46_28,0,0,2,0
2022_03_22_14_56_35,0,0,0,1
2022_03_22_14_59_10,0,0,0,1
2022_03_22_14_59_44,1,0,0,0
2022_03_22_15_01_10,0,0,0,1
2022_03_22_15_01_54,0,0,1,0
2022_03_22_15_17_06,0,0,1,0
2022_03_22_15_28_14,0,0,0,1
2022_03_22_15_31_18,0,0,1,0
2022_03_22_15_33_11,0,0,1,0
2022_03_22_15_33_28,0,0,1,0
2022_03_22_15_35_35,0,0,1,0
2022_03_22_15_36_07,0,0,1,0
2022_03_22_15_36_12,0,0,1,0
2022_03_22_15_36_23,0,0,0,1
2022_03_22_15_37_26,0,0,1,0
2022_03_22_15_39_30,0,0,0,1
2022_03_22_15_44_59,0,0,0,1
2022_03_22_15_45_00,0,0,0,1
2022_03_22_15_45_59,0,0,1,0
2022_03_22_16_18_11,0,0,0,1
2022_03_22_16_36_07,0,0,0,1
2022_03_22_16_44_55,0,0,0,1
2022_03_22_16_49_08,0,0,1,0
2022_03_22_16_50_02,0,0,0,1
2022_03_22_16_51_26,0,0,0,1
2022_03_22_16_52_22,0,0,1,0
2022_03_22_16_55_13,0,0,1,0
2022_03_22_16_57_23,0,0,0,1
2022_03_22_16_59_03,0,0,0,1
2022_03_22_16_59_39,0,0,0,1
2022_03_22_17_00_32,0,0,1,0
2022_03_22_17_01_43,0,0,0,1
2022_03_22_17_02_08,0,0,0,1
2022_03_22_17_02_26,0,0,0,1
2022_03_22_17_03_12,0,0,1,0
2022_03_22_17_06_23,0,0,1,0
2022_03_22_17_07_06,0,0,1,0
2022_03_22_17_29_01,0,0,0,1
2022_03_22_17_37_53,0,0,0,1
2022_03_22_17_40_21,0,0,0,1
2022_03_22_17_43_36,0,0,1,0
2022_03_22_17_51_37,0,0,0,1
2022_03_22_17_52_11,0,0,0,1
2022_03_22_17_55_50,0,0,1,0
2022_03_22_17_55_56,0,0,1,0
2022_03_22_17_57_56,0,0,1,0
2022_03_22_18_00_45,0,0,1,0
2022_03_22_18_01_16,0,0,1,0
2022_03_22_18_02_19,0,0,0,1
